2026-06-07T20:36:57 | INFO     | data_io | Dataset loaded: 200 rows × 4 columns
2026-06-07T20:36:57 | WARNING  | preprocess | Radio column: 15 missing values detected (7.5%)
2026-06-07T20:36:57 | ERROR    | modeling | Model training failed: feature matrix contains NaN
2026-06-07T21:24:26 | INFO     | data_io | Dataset loaded: 200 rows × 4 columns
2026-06-07T21:24:26 | WARNING  | preprocess | Radio column: 15 missing values detected (7.5%)
2026-06-07T21:24:26 | ERROR    | modeling | Model training failed: feature matrix contains NaN
2026-06-07T21:56:53 | INFO     | data_io | Dataset loaded: 200 rows × 4 columns
2026-06-07T21:56:53 | WARNING  | preprocess | Radio column: 15 missing values detected (7.5%)
2026-06-07T21:56:53 | ERROR    | modeling | Model training failed: feature matrix contains NaN
2026-06-07T22:02:09 | INFO     | data_io | Dataset loaded: 200 rows × 4 columns
2026-06-07T22:02:09 | WARNING  | preprocess | Radio column: 15 missing values detected (7.5%)
2026-06-07T22:02:09 | ERROR    | modeling | Model training failed: feature matrix contains NaN
2026-06-07T22:39:09 | INFO     | data_io | Dataset loaded: 200 rows × 4 columns
2026-06-07T22:39:09 | WARNING  | preprocess | Radio column: 15 missing values detected (7.5%)
2026-06-07T22:39:09 | ERROR    | modeling | Model training failed: feature matrix contains NaN
2026-06-07T22:41:50 | INFO     | data_io | Dataset loaded: 200 rows × 4 columns
2026-06-07T22:41:50 | WARNING  | preprocess | Radio column: 15 missing values detected (7.5%)
2026-06-07T22:41:50 | ERROR    | modeling | Model training failed: feature matrix contains NaN
2026-06-07T22:46:03 | INFO     | data_io | Dataset loaded: 200 rows × 4 columns
2026-06-07T22:46:03 | WARNING  | preprocess | Radio column: 15 missing values detected (7.5%)
2026-06-07T22:46:03 | ERROR    | modeling | Model training failed: feature matrix contains NaN
